--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
merchant_panel_普通,Common,普通
merchant_panel_进阶,Advanced,进阶
merchant_panel_稀有,Rare,稀有
merchant_panel_大师,Master,大师
merchant_panel_收购需求,Purchase Request:,收购需求
merchant_panel_奖励,Reward:,奖励:
merchant_panel_提交,Submit,提交
merchant_panel_会馆商人,Merchant,会馆商人
merchant_panel_任务生成中,Generating tasks,任务生成中
merchant_panel_X小时Y分,{hours}h {minutes}m,{hours}小时 {minutes}分
merchant_panel_X分Y秒,{minutes}m {seconds}s,{minutes}分 {seconds}秒
merchant_panel_刷新中,Refreshing,刷新中
merchant_panel_今日已刷新X次,Refreshed today {count}/{limit},今日已刷新 {count}/{limit} 次
merchant_panel_今日已刷新X次明日可继续,Daily refresh limit reached.,已达到每日刷新上限。
merchant_panel_积分兑换,Point Exchange,积分兑换
merchant_panel_当前积分X,Points: {points},当前积分：{points}
merchant_panel_悬赏金币X,Bounty Coins: {points},悬赏金币：{points}
merchant_panel_X悬赏金币,{cost} Bounty Coins,{cost} 悬赏金币
merchant_panel_兑换,Exchange,兑换
merchant_panel_返回订单,Back to Orders,返回订单
merchant_panel_兑换商品刷新中,Refreshing exchange offers,兑换商品刷新中
merchant_panel_兑换商店下次刷新X今日Y,Next refresh: {time}. Refreshed today {count}/{limit},下次刷新：{time}，今日刷新 {count}/{limit} 次
merchant_panel_兑换商店下次刷新X已达上限,Next refresh: {time}. Daily refresh limit reached,下次刷新：{time}，今日刷新次数已用完
merchant_panel_刷新兑换商店,Refresh Exchange Shop,刷新兑换商店
merchant_panel_待解锁订单槽X,Locked Order Slot {slot},待解锁订单槽 {slot}
merchant_panel_解锁订单槽,Unlock Slot,解锁订单槽
merchant_panel_确认解锁订单槽,Confirm Unlock,确认解锁订单槽
merchant_panel_确认消耗X解锁第Y个订单槽,Spend {cost} Bounty Coins to unlock order slot {slot}?,确认消耗 {cost} 个悬赏金币解锁第 {slot} 个订单槽？
merchant_panel_确认解锁,Confirm Unlock,确认解锁
merchant_panel_取消,Cancel,取消
merchant_panel_请先解锁前置订单槽,Unlock previous slot first,请先解锁前置订单槽
merchant_panel_完成获得X悬赏金币,Gain {points} Bounty Coins,完成获得 {points} 悬赏金币
merchant_panel_每日收购任务,Daily Purchase Task,每日收购任务
merchant_panel_今日完成订单X_Y,Orders completed today: {count}/{target},今日完成订单：{count}/{target}
merchant_panel_X_Y已完成,{count}/{target} Completed,{count}/{target} 已完成
merchant_panel_完成X个后解锁每日奖励,Unlock daily reward after {target} orders,完成 {target} 个后解锁每日奖励
merchant_panel_奖励,Reward:,奖励:
merchant_panel_领取,Claim,领取
merchant_panel_已领取,Claimed,已领取
merchant_panel_确认重置订单,Confirm Reset Order,确认重置订单
merchant_panel_确认消耗X重置订单,Spend {cost} Guild Contracts to reset this order?,确认消耗 {cost} 个行会契书重置该订单？
merchant_panel_确认重置,Confirm Reset,确认重置
merchant_panel_今日已重置X_Y个订单,Reset today {count}/{limit} orders,今日已重置 {count}/{limit} 个订单
merchant_panel_今日订单重置已达上限,Daily order reset limit reached,今日订单重置次数已用完
merchant_panel_订单槽X今日已完成,Order Slot {slot} Complete Today,订单槽 {slot} 今日已完成
merchant_panel_订单槽冷却进度X_Y,Cooldown: {count}/{target}. Refreshes tomorrow,冷却中：{count}/{target}，明日刷新
merchant_panel_剩余X个,Remaining: {count},剩余：{count} 个