--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
pay_page_微信支付,WeChat Pay,微信支付
pay_page_支付宝支付,Alipay,支付宝支付
pay_page_DukPay支付,DukPay,DukPay支付
pay_page_Paymentwall支付,Paymentwall,Paymentwall支付
pay_page_Antom支付,Antom,Antom支付
pay_page_更多支付方式,More Payment Methods,更多支付方式
pay_page_实际支付金额可能会受到汇率影响,The actual payment amount may be affected by exchange rates.,实际支付金额可能会受到汇率影响
pay_page_返回,Back,返回
pay_page_浏览器支付,Browser checkout,浏览器支付
pay_page_浏览器支付已打开,Checkout opened in your browser.,已在浏览器打开支付页面
pay_page_订单,Order,订单
pay_page_查询支付结果,Check Payment Result,查询支付结果
pay_page_到账延迟时可尝试手动刷新点券,*If delayed you can try refreshing points manually,*到账延迟时可尝试手动刷新点券
pay_page_我已支付,I have paid,我已支付
pay_page_关闭,Close,关闭
pay_page_取消,Cancel,取消
pay_page_袩芯写写械褉卸邪褌褜薪邪褋胁TelegramDi,Support us on Telegram/Discord,在 Telegram/Discord 上支持我们
pay_page_内测限定,Closed Test Limited,内测限定
pay_page_当前点券,Current Points,当前点券
pay_page_内测赞助额外赠送25百分比,Closed test recharge bonus +25%,内测赞助额外赠送 25%
pay_page_测试结束后返还所有已消耗点券,All spent points will be returned after the test ends.,测试结束后返还所有已消耗点券。
pay_page_赞助X元,Recharge {cost} CNY,赞助{cost}元
pay_page_赞助X美元,Sponsor ${cost},赞助 ${cost}
pay_page_赞助点券,Sponsor Points,赞助点券
pay_page_支付成功到账X点券,Payment successful. {points} points credited.,支付成功，到账 {points} 点券
pay_page_获得X点券,+{points} Points,+{points}点券
pay_page_赠,[Bonus],[赠]
pay_page_累计赞助点券进度,Total Recharge Points: {current}/{required},累计赞助点券：{current}/{required}
pay_page_选择支付方式,Select Payment Method,选择支付方式
pay_page_请先选择地区,Select a region first,请先选择地区
pay_page_购买商品X元,Buy {name} for ¥{cost},购买{name} ￥{cost}
pay_page_购买商品X美元,Buy {name} for ${cost},购买{name} ${cost}
pay_page_每日特惠,Daily Special,每日特惠
pay_page_地区,Region,地区
pay_page_选择地区,Select Region,选择地区
pay_page_地区支持X种支付方式,{region}: {count} payment methods available,{region}地区支持 {count} 种支付方式
pay_page_当前展示全部X种支付方式,Select a region. Showing all {count} payment methods.,请先选择地区，当前展示全部 {count} 种支付方式
pay_page_当前地区暂无可用支付方式,No payment methods are available in this region.,当前地区暂无可用支付方式
pay_page_支付成功礼包已到账,Payment successful. Your bundle has been delivered.,支付成功，礼包已到账
pay_page_礼包支付完成说明,"Your bundle will be delivered automatically after payment. If it does not arrive, select “I have paid” to try again.",支付完成后将自动发放礼包，未到账时可点击“我已支付”重试。
pay_page_获得X永恒点券池,+{points} Eternal Point Pool Cap,+{points}永恒点券池上限
pay_page_获取支付链接失败,Unable to get the payment link. Please try again.,获取支付链接失败，请重试
pay_page_未查询到支付结果,No completed payment was found. Please try again later.,未查询到支付结果，请稍后重试
pay_page_付款即代表您已同意,"By paying, you agree to",付款即代表您已同意
pay_page_此协议,this agreement,此协议
pay_page_重要提示,Important Notice,重要提示
pay_page_协议阅读与同意提示,Please read the agreement in full. Continuing with payment means you agree to it.,请完整阅读协议内容。继续支付即视为默认同意此协议。
pay_page_地区_CN,Chinese Mainland,中国大陆
pay_page_地区_HK,"Hong Kong, China",中国香港
pay_page_地区_TW,"Taiwan, China",中国台湾
pay_page_地区_MO,"Macao, China",中国澳门
pay_page_地区_SG,Singapore,新加坡
pay_page_地区_MY,Malaysia,马来西亚
pay_page_地区_TH,Thailand,泰国
pay_page_地区_ID,Indonesia,印度尼西亚
pay_page_地区_PH,Philippines,菲律宾
pay_page_地区_VN,Vietnam,越南
pay_page_地区_JP,Japan,日本
pay_page_地区_KR,South Korea,韩国
pay_page_地区_US,United States,美国
pay_page_地区_CA,Canada,加拿大
pay_page_地区_GB,United Kingdom,英国
pay_page_地区_DE,Germany,德国
pay_page_地区_FR,France,法国
pay_page_地区_NL,Netherlands,荷兰
pay_page_地区_ES,Spain,西班牙
pay_page_地区_IT,Italy,意大利
pay_page_地区_BR,Brazil,巴西
pay_page_地区_MX,Mexico,墨西哥
pay_page_地区_RU,Russia,俄罗斯
pay_page_地区_AT,Austria,奥地利
pay_page_地区_BE,Belgium,比利时
pay_page_地区_PL,Poland,波兰
pay_page_地区_PT,Portugal,葡萄牙
pay_page_地区_EE,Estonia,爱沙尼亚
pay_page_地区_FI,Finland,芬兰
pay_page_地区_HU,Hungary,匈牙利
pay_page_地区_IE,Ireland,爱尔兰
pay_page_地区_SE,Sweden,瑞典
pay_page_地区_CH,Switzerland,瑞士
pay_page_地区_DK,Denmark,丹麦
pay_page_地区_NO,Norway,挪威
pay_page_协议正文_001,,云海游创游戏使用许可及服务协议
pay_page_协议正文_002,,适配 Dota2 游廊玩家自定义地图、赞助商城及虚拟权益服务
pay_page_协议正文_003,,协议版本
pay_page_协议正文_004,,服务主体
pay_page_协议正文_005,,云海游创科技有限公司
pay_page_协议正文_006,,适用服务
pay_page_协议正文_007,,Dota2 游戏游廊板块中的云海游创玩家自定义地图及相关赞助商城服务
pay_page_协议正文_008,,生效日期
pay_page_协议正文_009,,以正式发布页面或游戏内公告载明日期为准
pay_page_协议正文_010,,本协议是云海游创科技有限公司与使用本服务的用户之间关于 Dota2 游戏游廊自定义地图、赞助商城、虚拟物品及相关服务的协议。
pay_page_协议正文_011,,请用户在使用本服务、支付赞助款项或取得虚拟权益前，仔细阅读本协议。用户开始使用本服务、进入地图、点击同意、支付款项、领取或使用虚拟权益的，视为已阅读、理解并同意本协议。
pay_page_协议正文_012,,本协议中的限制责任、虚拟物品规则、抽奖券规则、退款及拒付处理、账号处罚、服务变更与终止、争议解决等条款，与用户权益关系重大，请重点阅读。
pay_page_协议正文_013,,用户游玩游戏即同意本协议。
pay_page_协议正文_014,,第一条 协议主体与适用范围
pay_page_协议正文_015,,1.1 服务提供方为云海游创科技有限公司，以下简称“云海游创”或“公司”。
pay_page_协议正文_016,,1.2 用户是指通过 Dota2 游戏游廊或其他云海游创认可方式进入、体验、使用云海游创玩家自定义地图及相关服务的自然人，以下简称“用户”或“玩家”。
pay_page_协议正文_017,,1.3 本协议适用于云海游创在 Dota2 游戏游廊板块提供的玩家自定义地图、相关社区服务、客服服务、赞助商城、虚拟物品、虚拟权益、抽奖券、月卡及其他增值服务。
pay_page_协议正文_018,,1.4 用户同时应遵守 Dota2 游戏游廊及其他相关第三方平台的用户协议、社区规则、支付规则、创意工坊或游廊规则。若本协议与第三方平台强制性规则冲突，应以第三方平台规则及法律法规为准；云海游创有权为符合平台规则调整、暂停或终止相关服务。
pay_page_协议正文_019,,第二条 定义
pay_page_协议正文_020,,本服务
pay_page_协议正文_021,,指云海游创在 相关第三方平台 平台 Dota2 游廊中提供的玩家自定义地图、游戏内功能、赞助商城、客服、活动、公告及相关运营服务。
pay_page_协议正文_022,,赞助商城
pay_page_协议正文_023,,指用户在云海游创指定页面、渠道或游戏相关界面中，以自愿赞助或取得特定虚拟权益使用资格为目的进行支付的服务模块。
pay_page_协议正文_024,,虚拟权益
pay_page_协议正文_025,,指用户因参与活动、赞助、购买、兑换、领取或其他方式取得的，仅可在指定自定义地图内使用的权益，包括但不限于属性道具、皮肤、抽奖券、月卡、称号、特效、积分、次数、资格等。
pay_page_协议正文_026,,虚拟物品
pay_page_协议正文_027,,指本服务中的角色数据、装备、皮肤、道具、资源、数值、抽奖结果、月卡权益及其他游戏内数据或表现内容。
pay_page_协议正文_028,,抽奖券
pay_page_协议正文_029,,指仅可用于参与游戏内随机虚拟物品获取活动的虚拟权益，不具有现金、实物、收益分红或其他现实财产属性。
pay_page_协议正文_030,,账号
pay_page_协议正文_031,,指用户用于使用本服务的 相关第三方平台 账号、Dota2 账号、云海游创识别 ID、支付账号关联记录及其他可识别用户身份或权益归属的数据。
pay_page_协议正文_032,,第三条 平台关系与第三方权利
pay_page_协议正文_033,,3.1 Dota2 游戏游廊及相关第三方平台的名称、商标、作品、素材、平台、客户端、账号系统、支付系统及其他权利，归其相应权利人所有。云海游创仅就自身依法享有或合法取得授权的自定义地图内容、运营内容、原创美术、规则设计、数据配置及相关服务享有权利。
pay_page_协议正文_034,,3.2 如 Dota2 游戏游廊或其他相关第三方平台因规则调整、审核、封禁、接口变化、政策变化、技术限制等原因导致本服务全部或部分无法继续提供，云海游创有权相应调整、暂停或终止服务，并将尽合理努力通过公告、群通知、客服或其他方式告知用户。
pay_page_协议正文_035,,第四条 使用许可与知识产权
pay_page_协议正文_036,,4.1 在用户遵守本协议、游戏规则和平台规则的前提下，云海游创授予用户一项非商业性、非独占、不可转让、不可转授权、可撤销的有限使用许可，用于个人娱乐目的体验本服务。
pay_page_协议正文_037,,4.2 用户不得复制、反编译、破解、修改、出售、出租、传播、外挂调用、绕过限制、私服化运营或以其他未经授权方式使用本服务的程序、数据、素材、规则、文档、接口或运营内容。
pay_page_协议正文_038,,4.3 用户不得以营利为目的，或者以任何可能影响游戏公平性、平衡性、正常运营秩序的方式利用本服务或本服务中的虚拟物品、虚拟权益从事代练、代刷、账号交易、道具交易、抽奖券交易、权益倒卖、外挂辅助、脚本刷取、漏洞牟利、数据异常利用、批量注册、恶意退款或其他类似行为。云海游创有权基于自身判断和服务器记录，视情节单方决定采取警告、收回虚拟物品、扣除异常收益、数据回退、删档、限制登录、封停账号、永久禁止进入或游玩本服务等措施。
pay_page_协议正文_039,,第五条 账号、身份与安全
pay_page_协议正文_040,,5.1 用户应使用本人合法拥有并有权使用的账号进入或使用本服务。用户应自行妥善保管账号、密码、令牌、支付工具、设备及验证码。
pay_page_协议正文_041,,5.2 通过用户账号发生的登录、赞助、领取、消耗、交易、聊天、活动参与及其他行为，原则上视为用户本人行为。因用户出借、共享、交易账号，或保管不当导致的损失，由用户自行承担。
