--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
pet_config_popup_普通,Common,普通
pet_config_popup_精良,Fine,精良
pet_config_popup_稀有,Rare,稀有
pet_config_popup_史诗,Epic,史诗
pet_config_popup_传说,Legendary,传说
pet_config_popup_神话,Mythic,神话
pet_config_popup_宠物配置,Pet Settings,宠物配置
pet_config_popup_自动拾取,Auto Pickup,自动拾取
pet_config_popup_已开启,On,已开启
pet_config_popup_已关闭,Off,已关闭
pet_config_popup_拾取等级,Pickup Level,拾取等级
pet_config_popup_全选,Select All,全选
pet_config_popup_清空,Clear,清空
pet_config_popup_拾取品质,Pickup Quality,拾取品质
pet_config_popup_应用,Apply,应用
pet_config_popup_X级,Lv.{level},{level} 级
pet_config_popup_材料,Materials,材料
pet_config_popup_装备,Equipment,装备
pet_config_popup_符印,Seals,符印
pet_config_popup_图纸,Blueprints,图纸
pet_config_popup_药剂,Potions,药剂
pet_config_popup_其他,Other,其他
pet_config_popup_全捡,All,全捡
pet_config_popup_成长,Growth,成长
pet_config_popup_高价值,Valuable,高价值
pet_config_popup_材料图纸,Materials + Blueprints,材料图纸
pet_config_popup_自定义,Custom,自定义
pet_config_popup_拾取类型,Pickup Types,拾取类型
pet_config_popup_当前预设,Current: {preset},当前：{preset}
pet_config_popup_图鉴拾取名单,Illustrated Pickup List,图鉴拾取名单
pet_config_popup_白名单,Whitelist,白名单
pet_config_popup_黑名单,Blacklist,黑名单
pet_config_popup_暂无物品,No items,暂无物品
pet_config_popup_可在图鉴中将物品加入黑白名单,Add items to pickup whitelist or blacklist in the Illustrated Guide,可在图鉴中将物品加入黑白名单
pet_hover_tooltip_未出战,Not Deployed,未出战
pet_hover_tooltip_自动拾取已开启,Auto Pickup On,自动拾取已开启
pet_hover_tooltip_自动拾取已关闭,Auto Pickup Off,自动拾取已关闭
pet_hover_tooltip_等级,Level,等级
pet_hover_tooltip_品质,Quality,品质
pet_hover_tooltip_预设,Preset,预设
pet_hover_tooltip_类型,Type,类型
pet_hover_tooltip_左键提示,Left Click: Toggle pet auto pickup,鼠标左键点击  开启 / 禁用宠物自动拾取
pet_hover_tooltip_右键提示,Right Click: Open pet settings,鼠标右键点击  打开宠物配置