--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
pet_panel_蓝龙,Blue Dragon,蓝龙
pet_panel_温顺却不失威严的幼龙擅长陪伴冒险者踏入漫长旅途,"A gentle yet dignified young dragon, ready to accompany adventurers on long journeys.",温顺却不失威严的幼龙，擅长陪伴冒险者踏入漫长旅途。
pet_panel_女巫,Witch,女巫
pet_panel_戴着尖帽的灵体使者静静跟随主人在黑夜里守望战场,"A spirit envoy in a pointed hat, quietly following its master and watching the battlefield at night.",戴着尖帽的灵体使者，静静跟随主人，在黑夜里守望战场。
pet_panel_雷狼龙,Thunder Wolf Dragon,雷狼龙
pet_panel_兼具狼的敏捷与龙的压迫感行动间会带起细碎雷光,"It carries both wolf-like agility and draconic presence, leaving faint lightning in its steps.",兼具狼的敏捷与龙的压迫感，行动间会带起细碎雷光。
pet_panel_攻击力,Attack Damage,攻击力
pet_panel_生命值,Health,生命值
pet_panel_移动速度,Move Speed,移动速度
pet_panel_生命回复,Health Regen,生命回复
pet_panel_仓库格子,Warehouse Slots,仓库格子
pet_panel_背包格子,Backpack Slots,背包格子
pet_panel_宠物,Pet,宠物
pet_panel_精良,Fine,精良
pet_panel_稀有,Rare,稀有
pet_panel_史诗,Epic,史诗
pet_panel_传说,Legendary,传说
pet_panel_神话,Mythic,神话
pet_panel_已拥有宠物,Owned Pets,已拥有宠物
pet_panel_当前出战,Current Active,当前出战
pet_panel_未设置,Not Set,未设置
pet_panel_出战中,Active,出战中
pet_panel_待命,Standby,待命
pet_panel_我的宠物,My Pets,我的宠物
pet_panel_选择一只宠物查看详情,Select a pet to view details,选择一只宠物查看详情
pet_panel_可设为出战,Can be set active,可设为出战
pet_panel_已出战,Deployed,已出战
pet_panel_当前还没有已拥有的宠物,You do not own any pets yet,当前还没有已拥有的宠物
pet_panel_当前出战宠物,Current Active Pet,当前出战宠物
pet_panel_与驯兽师对话后可在这里切换当前出战宠物,"After talking to the Beast Trainer, you can switch your active pet here.",与驯兽师对话后，可在这里切换当前出战宠物。
pet_panel_设为出战,Set Active,设为出战
pet_panel_卸下宠物,Unsummon Pet,卸下宠物
pet_panel_属性加成,Attribute Bonuses,属性加成
pet_panel_暂无可展示的宠物信息,No pet information to display,暂无可展示的宠物信息
pet_panel_当前选中,Selected,当前选中
pet_panel_该宠物当前没有额外属性加成,This pet currently has no extra attribute bonuses,该宠物当前没有额外属性加成
pet_panel_宠物品质,Pet Quality,宠物品质
pet_panel_宠物移速,Pet Move Speed,宠物移速
pet_panel_宠物配置,Pet Settings,宠物配置