--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
portal_unlock_新地图传送点,New Map Teleport Point,新地图传送点
portal_unlock_新天赋,New Talent,新天赋
portal_unlock_已解锁,Unlocked,已解锁
portal_unlock_解锁天赋高亮,Talent Unlocked <font color='#c99645'>{name}</font>,解锁天赋 <font color='#c99645'>{name}</font>
milestone_prompt_maze_task_complete_title,Maze Objective Complete,迷宫目标完成
milestone_prompt_maze_all_floor_lit,All Floors Lit,所有地板已踩亮
milestone_prompt_maze_exit_open,Exit Open,出口已开放
milestone_prompt_mg001_victory,Game Victory,游戏胜利
milestone_prompt_mg003_victory_title,Billiards Challenge Complete,台球挑战完成
milestone_prompt_mg003_victory_name,Game Victory,游戏胜利
milestone_prompt_mg003_victory_status,Reward Unlocked,奖励已解锁
milestone_prompt_mg004_victory_title,State Recognition Challenge Complete,状态识别完成
milestone_prompt_mg004_victory_name,Three Rounds Perfect,三轮全对
milestone_prompt_mg004_victory_status,Challenge Cleared,挑战通过