--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
rankings_纳税排行,Tax Ranking,纳税排行
rankings_交易所税额,Exchange Taxes,交易所税额
rankings_暂无刷新,Not refreshed yet,暂无刷新
rankings_冠军,Champion,冠军
rankings_亚军,Runner-up,亚军
rankings_季军,Third Place,季军
rankings_上期冠军,Prev. No.1,上期冠军
rankings_上期亚军,Prev. No.2,上期亚军
rankings_上期季军,Prev. No.3,上期季军
rankings_玩家标识,Player Identifier,玩家标识
rankings_累计税额,Total Tax Paid,累计税额
rankings_前100纳税总额,Top 100 Tax Total,前100纳税总额
rankings_前三名分成,Top 3 Revenue Shares,前三名分成
"rankings_前100名纳税总额,前3玩家瓜分10%总纳税池!",Top 3 players share 10% of the Top 100 tax pool!,前100名纳税总额，前3玩家瓜分10%总纳税池！
rankings_前3玩家瓜分10%纳税池!,Top 3 players share 10% of the tax pool!,前3玩家瓜分10%纳税池！
rankings_点击刷新获取最新榜单,Click refresh to get the latest rankings,点击刷新获取最新榜单
rankings_正在向服务器请求排行榜,Requesting leaderboard from server...,正在向服务器请求排行榜...
rankings_已刷新前缀,Updated top ,已刷新前 
rankings_已刷新后缀, entries, 名榜单
rankings_排行榜请求失败,Leaderboard request failed,排行榜请求失败
rankings_排行榜,Rankings,排行榜
rankings_纳税排行榜,Tax Leaderboard,纳税排行榜
rankings_标题说明,"Records the total taxes paid by players in the exchange, including listing fees and guild contract taxes consumed by listing high-value items.",记录玩家在交易所中缴纳的总税额，包含上架手续费与贵重物品上架消耗的行会契书税额。
rankings_我的累计纳税,My Total Taxes,我的累计纳税
rankings_我的,My ,我的
rankings_刷新榜单,Refresh Rankings,刷新榜单
rankings_榜单列表,Ranking List,榜单列表
rankings_榜单状态,Ranking Status,榜单状态
rankings_最近刷新,Last Refresh ,最近刷新 
rankings_税额,Tax,税额
rankings_暂无排行数据,No ranking data yet,暂无排行数据
rankings_暂无排行数据说明,Top 3 players will appear here after the first exchange taxes are generated.,等首批交易税额产生后，这里会展示前三名玩家。
rankings_名次,Rank,名次
rankings_玩家,Player,玩家
rankings_当前没有可展示的纳税榜单,No tax leaderboard to show right now,当前没有可展示的纳税榜单
rankings_空榜说明,You can click the refresh button in the top-right corner or wait until players generate tax records in the exchange before checking again.,你可以点击右上角刷新按钮，或等待有玩家在交易所产生纳税记录后再查看。
rankings_狩猎排行,Hunting Ranking,狩猎排行
rankings_狩猎积分,Hunting Score,狩猎积分
rankings_金币排行,Gold Ranking,金币排行
rankings_持有金币,Gold Held,持有金币
rankings_仓库价值排行,Warehouse Value Ranking,仓库价值排行
rankings_仓库价值,Warehouse Value,仓库价值
rankings_每周榜,Weekly,每周榜
rankings_每周六12点重置,Resets every Saturday 12:00 (China Time),每周六 12:00 重置
rankings_每周六12点中国时间,Every Saturday 12:00 (China Time),每周六 12:00（中国时间）
rankings_每周日22点中国时间,Every Sunday 22:00 (China Time),每周日 22:00（中国时间）
rankings_定榜时间,Finalization Time,定榜时间
rankings_奖励将在定榜后稍晚发放,Rewards will be distributed shortly after finalization,奖励将在定榜后稍晚发放
rankings_中国时间括号,(China Time),（中国时间）
rankings_无,None,无
rankings_我,Me,我
rankings_我的排名,My Rank,我的排名
rankings_徽章,Badges,徽章
rankings_纳税,Tax,纳税
rankings_狩猎,Hunting,狩猎
rankings_展示标签,Display Tags,展示标签
rankings_已展示,Shown,已展示
rankings_展示,Show,展示
rankings_隐藏,Hide,隐藏
rankings_点击显示,Click to show,点击显示
rankings_点击隐藏,Click to hide,点击隐藏
rankings_展示中,Showing,展示中
rankings_未展示,Hidden,未展示
rankings_已满,Full,已满
rankings_暂无徽章,No Badges,暂无徽章
rankings_身份标识提示,Won #1 on the {board} leaderboard {level} times,获得了 {level} 次{board}排行榜第一名
rankings_奖励发放,Reward Grant,奖励发放
rankings_刷新,Refresh,刷新
rankings_暂无排行榜数据,No ranking data yet,暂无排行榜数据
rankings_预计奖励,Estimated Reward,预计奖励
rankings_当前没有可展示的排行榜数据,No ranking data to show right now,当前没有可展示的排行榜数据
rankings_可以稍后再试或手动刷新排行榜,Try again later or refresh the rankings manually.,可以稍后再试，或手动刷新排行榜。
rankings_暂无,None,暂无
rankings_当前榜,Current,当前榜
rankings_往期榜,History,往期榜
rankings_结算期,Settlement Period,结算期
rankings_结算时间,Settlement Time,结算时间
rankings_暂无往期榜,No history yet,暂无往期榜
rankings_结算奖励,Settlement Reward,结算奖励
rankings_当前没有可展示的往期排行榜数据,No historical ranking data to show right now,当前没有可展示的往期排行榜数据
rankings_请选择其他结算期或榜单,Choose another settlement period or ranking category.,请选择其他结算期或榜单。
rankings_排行榜载入中,Loading rankings,排行榜载入中
rankings_正在同步云端榜单数据,Syncing cloud leaderboard data,正在同步云端榜单数据
rankings_无尽排行,Endless Ranking,无尽排行
rankings_赛季最高通关层数,Season Best Cleared Floor,赛季最高通关层数
rankings_最高层,Best Floor,最高层
rankings_赛季榜,Season,赛季榜
rankings_赛季记录,Season Record,赛季记录
rankings_以最后一次刷新的榜单为准,Based on the most recently refreshed leaderboard.,以最后一次刷新的榜单为准
rankings_榜单结算中...,Leaderboard settlement in progress...,榜单结算中...
rankings_定榜结算进行中，结算完成后将展示新一周榜单,Finalizing the leaderboard. The new weekly rankings will be shown after settlement completes.,定榜结算进行中，结算完成后将展示新一周榜单