--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese,Russian,Vietnamese
referral_caption,REFERRAL CENTER,邀请中心,ЦЕНТР ПРИГЛАШЕНИЙ,TRUNG TÂM GIỚI THIỆU
referral_title,Referral Code,邀请码,Реферальный код,Mã giới thiệu
referral_refresh,Refresh,刷新,Обновить,Làm mới
referral_my_code,My Referral Code,我的邀请码,Мой реферальный код,Mã giới thiệu của tôi
referral_loading,Loading…,正在获取…,Загрузка…,Đang tải…
referral_copy,Copy,复制,Копировать,Sao chép
referral_invited_players,Invited Players,已邀请玩家,Приглашённые игроки,Người chơi đã mời
referral_binding_status,Binding Status,绑定状态,Статус привязки,Trạng thái liên kết
referral_bound,Bound,已绑定,Привязан,Đã liên kết
referral_unbound,Not Bound,未绑定,Не привязан,Chưa liên kết
referral_bind_friend_code,Bind a Friend's Referral Code,绑定好友邀请码,Привязать реферальный код друга,Liên kết mã giới thiệu của bạn bè
referral_bind_hint,"A referral code can be bound once per map. Bind one to claim the reward below.",每张地图只能绑定一次，成功绑定后可领取以下奖励,"На каждой карте реферальный код можно привязать только один раз. После привязки можно получить награду ниже.",Mỗi bản đồ chỉ có thể liên kết mã giới thiệu một lần. Liên kết thành công để nhận phần thưởng bên dưới.
referral_bind_any_friend_code,Bind Any Friend's Referral Code,绑定任意一名好友的邀请码,Привязать реферальный код любого друга,Liên kết mã giới thiệu của một người bạn bất kỳ
referral_friend_code,Friend's Referral Code,好友邀请码,Реферальный код друга,Mã giới thiệu của bạn bè
referral_bound_friend_code,Friend's Referral Code Bound,已绑定好友邀请码,Реферальный код друга привязан,Đã liên kết mã giới thiệu của bạn bè
referral_enter_friend_code,Enter a friend's 6–8 character referral code,输入 6～8 位好友邀请码,Введите реферальный код друга из 6–8 символов,Nhập mã giới thiệu của bạn bè gồm 6–8 ký tự
referral_confirm_bind,Confirm Binding,确认绑定,Подтвердить привязку,Xác nhận liên kết
referral_level_rewards,Invitee Level Rewards,邀请好友升级奖励,Награды за уровни приглашённых,Phần thưởng cấp độ người được mời
referral_level_hint,Progress is based on the total number of invitees who meet each requirement.,每项任务按达到条件的受邀好友总人数累计计算,Прогресс каждого задания зависит от общего числа приглашённых выполнивших условие.,Tiến độ mỗi nhiệm vụ được tính theo tổng số người được mời đáp ứng điều kiện.
referral_hero_reaches_level,Main Hero Reaches Level {level},主英雄达到 {level} 级,Главный герой достигает {level}-го уровня,Tướng chính đạt cấp {level}
referral_invitees_reach_level,Invitees with a Main Hero at Level {level}: {count},主英雄达到{level}级的受邀好友：{count}名,Приглашённых с главным героем {level}-го уровня: {count},Người được mời có tướng chính đạt cấp {level}: {count}
referral_boss_rewards,Invitee Boss First-Kill Rewards,邀请好友 Boss 首杀奖励,Награды за первые убийства боссов приглашёнными,Phần thưởng hạ Boss lần đầu của người được mời
referral_boss_hint,A first Boss kill is based on each invitee's Bestiary kill statistics.,Boss 首杀以受邀好友的怪物图鉴击杀统计为准。,Первое убийство босса определяется по статистике убийств в бестиарии приглашённого игрока.,Lần hạ gục Boss đầu tiên được tính theo thống kê hạ gục trong Sổ quái vật của người chơi được mời.
referral_invitees_first_kill,Invitees who defeat {boss} for the first time: {count},首次击杀{boss}的受邀好友：{count}名,"Приглашённых, впервые победивших {boss}: {count}",Người được mời lần đầu đánh bại {boss}: {count}
referral_claim_history,Claim History ({count}),领取记录（{count}）,История получения ({count}),Lịch sử nhận thưởng ({count})
referral_no_claim_history,No Claim History,暂无领取记录,Получений пока нет,Chưa có lịch sử nhận thưởng
referral_claimed,Claimed,已领取,Получено,Đã nhận
referral_claim,Claim,领取,Получить,Nhận
referral_not_achieved,Incomplete,未达成,Не выполнено,Chưa hoàn thành
referral_task_progress,Task Progress,任务进度,Прогресс задания,Tiến độ nhiệm vụ