--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
room_selection_未解锁,Locked,未解锁
room_selection_未开放,Not Open,未开放
room_selection_进图材料,Entry Materials,进图材料
room_selection_请选择目的地,Select a destination,请选择目的地
room_selection_传送,Teleport,传送
room_selection_自动填充,Auto Fill,自动填充
room_selection_重置材料,Reset Materials,重置材料
room_selection_难度X,Difficulty {level},难度 {level}
room_selection_地图传送,Map Teleport,地图传送
room_selection_消耗金币X,Spend {gold} Gold,消耗金币 {gold}
room_selection_掉落数量提升X,Drop Count +{percent}%,掉落数量 +{percent}%
room_selection_选择目的地,Select Destination,选择目的地
room_selection_稳定度说明,This map is not fully stable. Entering early lowers Stability and raises monster threat. Over time the map will stabilize and monster threat will return to normal.,该地图尚未完全稳定。提前进入时稳定度较低，怪物威胁会上升；随着时间推移，地图会逐渐稳定，怪物威胁会回归正常。
room_selection_Boss排名未解锁,Unlock the first-clear ranking after defeating this boss,击杀后解锁首杀排名
room_selection_Boss自身顺位,My clear rank: #{rank},我的通关顺位：第 {rank} 名
room_selection_Boss排名加载中,Loading first-clear ranking...,正在加载首杀排名……
room_selection_Boss排名加载失败,Failed to load ranking. Please try again later.,排名加载失败，请稍后重试
room_selection_Boss排名暂无记录,No first-clear records yet,暂无首杀记录
room_selection_Boss首杀排名,First Clear Ranking,首杀排名
room_selection_Boss我的排名,My Rank,我的排名
room_selection_我,Me,我
room_selection_简单,Easy,简单
room_selection_普通,Normal,普通
room_selection_困难,Hard,困难
room_selection_稳定度X,Stability {pct},稳定度 {pct}
room_selection_正在创建地图,Creating map...,正在创建地图……
room_selection_简单模式,Easy Mode,简单模式
room_selection_困难模式,Hard Mode,困难模式
room_selection_普通模式,Normal Mode,普通模式
room_selection_怪物威胁降低,Lower monster threat,怪物威胁降低
room_selection_怪物威胁提升,Higher monster threat,怪物威胁提升
room_selection_掉落数量变化X,Drop Count {percent}%,掉落数量 {percent}%
