--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
season_shop_赛季会馆,Season Hall,赛季会馆
season_shop_赛季,Season,赛季
season_shop_赛季_s1,Season 1,第一赛季
season_shop_赛季_s2,Season 2,第一赛季
season_shop_金币,Gold,金币
season_shop_远古币,Ancient Coins,远古币
season_shop_永恒池上限,Permanent Pool Limit,永恒池上限
season_shop_永恒恢复卡,Eternal Recovery Card,永恒恢复卡
season_shop_赛季会员卡,Season Membership Card,赛季会员卡
season_shop_恢复卡持有已达上限,Card Holding Limit Reached,持有已达上限
season_shop_恢复卡持有数量,Cards Held {current}/{limit},恢复卡持有 {current}/{limit}
season_shop_永久纪念章,Permanent Medal,永久纪念章
season_shop_剩余时间,{days}d {hours}:{minutes}:{seconds},{days}天 {hours}:{minutes}:{seconds}
season_shop_尚未确定,To be determined,尚未确定
season_shop_中国时间X,{time} (China Time),{time}（中国时间）
season_shop_赛季已结束,Season ended,赛季已结束
season_shop_结算时间X,Settlement: {time},结算时间：{time}
season_shop_金币建设,Gold Contribution,金币建设
season_shop_远古币研究,Ancient Coin Research,远古币研究
season_shop_赛季建设副标题,SEASON PROJECT,赛季计划
season_shop_赛季建设,Season Project,赛季建设
season_shop_个人记录副标题,PERSONAL RECORD,个人记录
season_shop_个人贡献等级,Personal Contribution Level,个人贡献等级
season_shop_个人贡献等级机制,Personal Contribution Level Mechanics,个人贡献等级机制
season_shop_个人贡献等级机制说明,Personal Contribution Level creates one independent multiplier: damage dealt ×(1 + 2% × level) and damage taken ×(1 - 2% × level). It also increases the base Season Coin settlement reward.,个人贡献等级形成一个独立乘区：造成伤害 ×（1 + 2% × 等级）、受到伤害 ×（1 - 2% × 等级）；同时提升基础结算赛季币数量。
season_shop_个人贡献加成说明,Estimated settlement: {reward} Season Coins · Independent damage +{damage}% · Independent damage resistance +{resistance}%,预计结算 {reward} 赛季币 · 独立伤害 +{damage}% · 独立伤害抵抗 +{resistance}%
season_shop_下级结算增加,Next level settlement +{reward} Season Coins,下级结算增加 +{reward} 赛季币
season_shop_个人贡献已满级,Max contribution level reached,个人贡献已满级
season_shop_全服建设副标题,WORLD PROJECT,全服建设
season_shop_全服建设等级,World Project Level,全服建设等级
season_shop_全服建设加成说明,Settlement Coins +{settlement}% · Independent damage +{damage}% · Independent damage resistance +{resistance}%,结算币 +{settlement}% · 独立伤害 +{damage}% · 独立伤害抵抗 +{resistance}%
season_shop_提交资源数量,Submit {count},提交 {count}
season_shop_建设贡献增加,Project Contribution +{count},建设贡献 +{count}
season_shop_提交中,Submitting...,提交中...
season_shop_提交资源,Submit Resources,提交资源
season_shop_建设已结束,Project ended,建设已结束
season_shop_赛季结算,Season Settlement,赛季结算
season_shop_已领取,Claimed,已领取
season_shop_预计可领取,Estimated Claim,预计可领取
season_shop_结算来源,({base} × {multiplier}% world bonus + {rank} ranking bonus),（{base} × {multiplier}% 全服结算 + 排名额外 {rank}）
season_shop_赛季币,Season Coins,赛季币
season_shop_领取中,Claiming...,领取中...
season_shop_已结算,Settled,已结算
season_shop_领取结算,Claim Settlement,领取结算
season_shop_结束后可领取,Available after season end,结束后可领取
season_shop_当前个人贡献等级,Current Personal Contribution Level,当前个人贡献等级
season_shop_贡献等级兑换说明,Increase your contribution level to unlock rewards · Prices grow exponentially at each reward's configured rate,提升贡献等级可解锁奖励 · 每件商品按配置倍率指数涨价
season_shop_兑换中,Exchanging...,兑换中...
season_shop_已兑换完,Sold Out,已兑换完
season_shop_贡献等级解锁,Contribution Level {level} Required,贡献等级 {level} 解锁
season_shop_赛季币不足,Not Enough Season Coins,赛季币不足
season_shop_立即兑换,Exchange Now,立即兑换
season_shop_个人贡献等级要求,Personal Contribution LV.{level},个人贡献 LV.{level}
season_shop_本赛季限购,Season Limit {purchased}/{limit},本赛季限购 {purchased}/{limit}
season_shop_不限购,No Limit,不限购
season_shop_实时贡献副标题,LIVE CONTRIBUTION,实时贡献
season_shop_赛季贡献排行,Season Contribution Ranking,赛季贡献排行
season_shop_赛季贡献排行说明,The ranking loads once when opened. Use manual refresh afterward; rankings lock when the season ends and grant extra Season Coins at settlement.,进入榜单时自动加载一次，之后可手动刷新；赛季结束后名次固化，领取结算时额外发放排名赛季币。
season_shop_刷新排行,Refresh Ranking,刷新排行
season_shop_刷新排行倒计时,Refresh ({seconds}s),刷新（{seconds}秒）
season_shop_我的实时排名,My Live Rank,我的实时排名
season_shop_未上榜,Unranked,未上榜
season_shop_我的排名详情,{score} Contribution · {reward} Bonus Season Coins,{score} 贡献 · 额外 {reward} 赛季币
season_shop_排名,Rank,排名
season_shop_玩家,Player,玩家
