--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese,Russian,Vietnamese
msg_背包_背包没有可用空位_无法脱下,,背包没有可用空位，无法脱下,,
msg_背包_背包容量不足_物品_已掉落在英雄附近,,背包容量不足，物品 {name} 已掉落在英雄附近,,
msg_背包_背包已满_邮件附件_已掉落在英雄附近,,背包已满，邮件附件 {itemName} 已掉落在英雄附近,,
msg_背包_次级英雄复制物品不能进入背包,,次级英雄复制物品不能进入背包,,
msg_背包_次级英雄复制物品不能拾取,,次级英雄复制物品不能拾取,,
msg_背包_次级英雄复制物品不能移动到背包,,次级英雄复制物品不能移动到背包,,
msg_背包_次级英雄复制物品不能移动到垃圾桶,,次级英雄复制物品不能移动到垃圾桶,,
msg_背包_该物品不属于你,,该物品不属于你,,
msg_背包_该物品正被重铸占用,,该物品正被重铸占用,,
msg_背包_晕眩或死亡状态下无法丢弃物品,,晕眩或死亡状态下无法丢弃物品,,
msg_背包_传说及以上品质装备不能丢弃到地上,,传说及以上品质装备不能丢弃到地上,,
msg_背包_该物品不可丢弃,,该物品不可丢弃,,
msg_仓库_仓库空间不足_剩余物品未存入,,仓库空间不足，剩余物品未存入,,
msg_仓库_存入成功,,存入成功,,
msg_宠物_背包和仓库都没有空间_无法放回原宠物蛋,,背包和仓库都没有空间，无法放回原宠物蛋,,
msg_宠物_背包和仓库都没有空间_无法卸下宠物,,背包和仓库都没有空间，无法卸下宠物,,
msg_宠物_宠物蛋装备失败,,宠物蛋装备失败,,
msg_宠物_宠物拾取名单操作错误,,宠物拾取名单操作错误,,
msg_宠物_宠物拾取名单类型错误,,宠物拾取名单类型错误,,
msg_宠物_宠物拾取最多设置个物品,,宠物拾取{listName}最多设置{limit}个物品,,
msg_宠物_该物品不能加入宠物拾取名单,,该物品不能加入宠物拾取名单,,
msg_宠物_该物品不是宠物蛋,,该物品不是宠物蛋,,
msg_宠物_获得宠物,,获得宠物：{value},,
msg_宠物_你尚未拥有该宠物,,你尚未拥有该宠物,,
