--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
settlement_撤离成功,Evacuation Successful,撤离成功
settlement_撤离失败,Evacuation Failed,撤离失败
settlement_死亡确认,Death Confirmation,死亡确认
settlement_战利品已完成封存,Loot has been secured.,战利品已完成封存。
settlement_已根据战场规则结算损失物资,Lost supplies have been settled according to battlefield rules.,已根据战场规则结算损失物资。
settlement_无尽失败物资已遗失,Personal bag supplies were lost.,个人背包中的物资已遗失。
settlement_M001死亡后可通过撤离点安全离开,Find an extraction point and complete the channel to safely secure your supplies.,找到地图中的撤离点并完成读条，可以安全带出物资。
settlement_M001撤离提醒,Extraction Reminder,撤离提醒
settlement_M001状态不佳时应及时撤离,"When supplies are secured or your condition worsens, stop fighting and extract in time.",收获足够或状态不佳时，不要恋战，及时前往撤离点。
settlement_带出物资总价值,Total extracted supply value,带出物资总价值
settlement_带入价值,Load-in Value,带入价值
settlement_带出价值,Extracted Value,带出价值
settlement_收益,Profit,收益
settlement_损失物资总价值,Total lost supply value,损失物资总价值
settlement_返回基地,Return to Base,返回基地
settlement_接受结算,Accept Settlement,接受结算
settlement_确认,Confirm,确认
settlement_地图,Map,地图
settlement_层数,Floor,层数
settlement_第X层,Floor {floor},第{floor}层
settlement_难度,Difficulty,难度
settlement_稳定度,Stability,稳定度
settlement_简单,Easy,简单
settlement_普通,Normal,普通
settlement_困难,Hard,困难
settlement_无尽,Endless,无尽
settlement_无尽倾天秘境,Endless Skyfall Rift,无尽倾天秘境
settlement_生存时长,Survival Time,生存时长
settlement_获得经验值,EXP Gained,累计获得经验
settlement_获得狩猎分,Hunting Score Gained,累计获得狩猎分
settlement_遗失物资清单,Lost Supplies,遗失物资清单
settlement_带出物资清单,Extracted Supplies,带出物资清单
settlement_X金币,{value} Gold,{value} 金币
settlement_X项损失,{count} Lost Items,{count} 项损失
settlement_无结算物品,No supplies,无物品
settlement_X项带出,{count} Extracted Items,{count} 项带出