--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
shop_已售,Sold,已售
shop_即将刷新,Refreshing soon,即将刷新
shop_请先选择商品,Select an item first,请先选择商品
shop_该商品已售出,This item has been sold,该商品已售出
shop_黑心商贩,Shady Merchant,黑心商贩
shop_购买,Buy Pass Sigil,购买
shop_刷新商店,Refresh Shop,刷新商店
shop_快捷出售背包中未锁定的物品,Quickly sell unlocked items in backpack,快捷出售背包中未锁定的物品
shop_快捷出售,Quick Sell,快捷出售
shop_确认刷新商店,Confirm Shop Refresh,确认刷新商店
shop_确认刷新,Confirm Refresh,确认刷新
shop_取消,Cancel,取消
shop_每X分钟刷新库存,Restocks every {minutes} minutes,每 {minutes} 分钟刷新库存
shop_下次刷新X每Y分钟,Next refresh {time} / every {minutes} minutes,下次刷新 {time} / 每 {minutes} 分钟
shop_商店等级X,Shop Lv.{level},商店等级 {level}
shop_需要X级商店,Requires Shop Lv.{level},需要 {level} 级商店
shop_今日剩余刷新X次,{count} refreshes remaining today,今日剩余刷新 {count} 次
shop_商品价格提示,{name}\nPrice: {price},{name}\n价格：{price}