--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
shop_mall_点券赞助,Points Recharge,点券赞助
shop_mall_兑换码,Redemption Code,兑换码
shop_mall_选择支付方式,Select Payment Method,选择支付方式
shop_mall_未查询到支付结果,Payment result not found,未查询到支付结果！
shop_mall_赞助商城,Sponsor Shop,赞助商城
shop_mall_输入兑换码,Enter Redemption Code,输入兑换码
shop_mall_兑换商店,Shop,兑换商店
shop_mall_普通兑换,Normal,普通兑换
shop_mall_会员兑换,VIP,会员兑换
shop_mall_暂无可兑换,No items available,暂无可兑换商品
shop_mall_月卡专属,Season Member Exclusive,赛季会员专属
shop_mall_需月卡,Season Membership Required,需要赛季会员
shop_mall_永久卡专属,Permanent Premium Exclusive,永久尊享卡专属
shop_mall_需永久卡,Permanent Premium Card Required,需要永久尊享卡
shop_mall_暂无商品,No items this season,本赛季暂无商品
shop_mall_剩余,Remaining,剩余
shop_mall_已售罄,Sold Out,已售罄
shop_mall_宝藏,mibao,秘宝
shop_mall_会员特权,VIP Privilege,会员特权
shop_mall_微信支付,WeChat Pay,微信支付
shop_mall_支付宝支付,Alipay,支付宝支付
shop_mall_赞助,Top Up,赞助
shop_mall_刷新,Refresh,刷新
shop_mall_当前点券,Current Points,当前点券
shop_mall_礼包商城,Gift Packs,礼包商城
shop_mall_秘宝,Treasure,秘宝
shop_mall_扩展包,Expansion Pack,扩展包
shop_mall_礼包,Gift Pack,礼包
shop_mall_精选礼包,Featured Packs,精选礼包
shop_mall_精选礼包_desc,"Stock up on supplies, collectibles, and battle-ready boosts for the next campaign with featured packs built for your road to the throne.",为下一场征战备齐补给、珍藏与战场增益，精选礼包助你更快踏上王座之路。
shop_mall_当前上架礼包,Packs Online,当前上架礼包
shop_mall_购买成功,Purchased,购买成功
shop_mall_礼包内容,Rewards,礼包内容
shop_mall_立即购买,Buy Now,立即购买
shop_mall_每日特惠,Limited Deals,限购特惠
shop_mall_每日特惠角标,LIMITED DEALS,LIMITED DEALS
shop_mall_每日特惠_desc,Daily and weekly supplies are purchased with points.,每日与每周补给均使用点券购买。
shop_mall_每日限购,Daily Limit,每日限购
shop_mall_每周限购,Weekly Limit,每周限购
shop_mall_每日特惠_初级补给,Starter Supplies,初级补给
shop_mall_每日特惠_强化补给,Enhanced Supplies,强化补给
shop_mall_每日特惠_高阶宝箱,Advanced Chest,高阶宝箱
shop_mall_每日特惠_豪华宝箱,Deluxe Chest,豪华宝箱
shop_mall_限购,Limited to,限购
shop_mall_次,times,次
shop_mall_行会礼包,Guild Bundle,行会礼包
shop_mall_行会图册,Guild Album,行会图册
shop_mall_元, CNY,元
shop_mall_获取订单中,Creating order...,正在获取订单...
shop_mall_查询支付结果,Checking payment...,查询支付结果中...
shop_mall_支付成功,Payment successful!,支付成功！
shop_mall_关闭,Close,关闭
shop_mall_取消,Cancel,取消
shop_mall_我已支付,I have paid,我已支付
shop_mall_到账延迟提示,*If delayed you can try refreshing points manually,*到账延迟时可尝试手动刷新点券
shop_mall_道具商店,Props Shop,道具商店
shop_mall_道具商店_desc,Come and choose your favorite props!,快来挑选心仪的道具吧！
shop_mall_礼包奖励_preview,Rewards Preview,礼包奖励
shop_mall_包装纸,Gift Wrapping,包装纸
shop_mall_包装纸_desc,Beautiful paper for wrapping jewelry as gifts,将饰品包装为礼品的精美纸张
shop_mall_冲刺礼包,Sprint Gift,冲刺礼包
shop_mall_冲刺礼包_desc,Launch event gifts and limited-time special offers!,开服冲刺好礼，限时特惠！
shop_item_7_desc,Double gold gain for a period of time,一段时间内获得双倍金币
shop_mall_月卡,Season Membership,赛季会员
shop_mall_月卡_desc,Daily: 5 extra Guild Contracts.,赛季会员，每天可额外领取 5 个行会契书
shop_mall_永久卡,Permanent Premium Card,永久尊享卡
shop_mall_永久卡_desc,Daily: 1 Mystery Key.,永久尊享卡，每天可领取 1 把神秘钥匙
shop_mall_购买,Buy,购买
shop_mall_领取,Claim,领取
shop_mall_今日已领,Claimed Today,今日已领
shop_mall_未开通,Not Activated,未开通
shop_mall_当前赛季永久有效,Permanent for Current Season,当前赛季永久有效
shop_mall_已开通,Activated,已开通
shop_mall_今日待领,Claimable Today,今日待领
shop_mall_购买激活,Purchase to Activate,购买激活
shop_mall_月卡奖励提示_待领,Unlocked. Remember to claim today's Season Membership reward.,已解锁，记得领取今天的赛季会员奖励
shop_mall_奖励提示_已领,Reward claimed. Available again tomorrow.,奖励已领取，明日可再次领取
shop_mall_月卡奖励提示_未激活,Purchase Season Membership to claim 5 reward items daily.,购买赛季会员后，每日都可领取 5 个奖励道具
shop_mall_永久卡奖励提示_待领,Unlocked. Remember to claim today's Permanent Premium Card reward.,已解锁，记得领取今天的永久尊享卡奖励
shop_mall_永久卡奖励提示_未激活,Purchase a Permanent Premium Card to claim 1 reward item daily.,购买永久尊享卡后，每日都可领取 1 个奖励道具
shop_mall_月卡有效期,Season Membership Expiration,赛季会员有效期
shop_mall_再次购买延长月卡,Buy again to extend Season Membership.,再次购买可以延长赛季会员有效期
shop_mall_上次到期时间,Last Expiration Time,上次到期时间
shop_mall_月卡已过期,Season Membership expired,赛季会员已过期
shop_mall_再次购买,Buy Again,再次购买
shop_mall_立即开通,Activate Now,立即开通
