--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
signal_tower_传送点已完成校准,Teleport point calibrated,传送点已完成校准
signal_tower_无需材料可直接激活,No materials required. Activate directly,无需材料，可直接激活
signal_tower_传送权已激活,Teleport access active,传送权已激活
signal_tower_材料齐备可激活直传,Materials ready. Direct teleport can be activated,材料齐备，可激活直传
signal_tower_提交材料激活直传,Submit materials to activate direct teleport,提交材料激活直传
signal_tower_之后可直接传送至该区域,You can teleport directly to this area afterward.,之后可直接传送至该区域
signal_tower_全部材料已满足提交后立即开启传送权限,All materials are ready. Submit them to unlock teleport access immediately.,全部材料已满足，提交后立即开启传送权限
signal_tower_已激活,Activated,已激活
signal_tower_提交材料,Submit Materials,提交材料
signal_tower_材料不足,Not enough materials,材料不足
signal_tower_地图信号塔,Map Signal Tower,地图信号塔
signal_tower_已解锁,Unlocked,已解锁
signal_tower_可激活,Activatable,可激活
signal_tower_待补给,Needs Supplies,待补给
signal_tower_校准进度,Calibration Progress,校准进度
signal_tower_所需材料,Required Materials,所需材料
signal_tower_无需材料,No materials required,无需材料
signal_tower_已备齐,Ready,已备齐
signal_tower_已提交,Submitted,已提交
signal_tower_该传送点不需要额外材料可直接激活,This teleport point needs no extra materials and can be activated directly.,该传送点不需要额外材料，可直接激活。
signal_tower_激活后永久生效,Permanent after activation,激活后永久生效
signal_tower_当前地图已记录为可传送区域,The current map has been recorded as a teleportable area.,当前地图已记录为可传送区域。
signal_tower_提交材料会消耗背包中的对应物品并解锁该区域直传,Submitting materials consumes the matching items from your backpack and unlocks direct teleport to this area.,提交材料会消耗背包中的对应物品，并解锁该区域直传。
signal_tower_关闭,Close,关闭
signal_tower_X项材料就绪,{ready}/{total} materials ready,{ready}/{total} 项材料就绪
signal_tower_仍缺少X份材料,Still missing {count} materials,仍缺少 {count} 份材料
signal_tower_缺少X,Missing {count},缺少 {count}
signal_tower_本次提交X缺少Y,"Submit {submit}, missing {missing}",本次提交 {submit}，缺少 {missing}