--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
talent_tree_已解锁,Unlocked,已解锁
talent_tree_未解锁,Locked,未解锁
talent_tree_属性详情,Attribute Details,属性详情
talent_tree_天赋树属性详情,Talent Tree Attribute Details,天赋树属性详情
talent_tree_已研究天赋,Researched Talents,已研究天赋
talent_tree_解锁百分比,Unlock Percentage,解锁百分比
talent_tree_属性种类,Attribute Types,属性种类
talent_tree_属性,Attribute,属性
talent_tree_已获得总可得,Acquired / Total,已获得 / 总可得
talent_tree_解锁率,Unlock Rate,解锁率
talent_tree_该天赋树暂无可汇总的属性收益,This talent tree has no attribute gains to summarize yet.,该天赋树暂无可汇总的属性收益
talent_tree_天赋研究,Talent Research,天赋研究
talent_tree_即将完成,Almost complete...,即将完成...
talent_tree_开始研究,Start Research,开始研究
talent_tree_来源天赋进度,Source Talents: {unlocked}/{total},来源天赋：{unlocked}/{total}
talent_tree_研究时间X秒,Research Time: {seconds}s,研究时间: {seconds} 秒
talent_tree_剩余X秒,{seconds}s remaining,剩余 {seconds} 秒
talent_tree_斧王天赋,Axe Talents,斧王天赋
talent_tree_刺客天赋,Assassin Talents,刺客天赋
talent_tree_法师天赋,Mage Talents,法师天赋
talent_tree_attribute_attack_lifesteal,Attack Lifesteal,攻击吸血
talent_tree_attribute_all_stats,All Attributes,全属性
talent_tree_attribute_attack_damage,Attack Damage,攻击力
talent_tree_attribute_magic_resistance,Magic Resistance,魔法抗性
talent_tree_attribute_mana,Mana,法力值
talent_tree_attribute_move_speed,Move Speed,移动速度
talent_tree_attribute_experience_gain,Experience Gain,经验获取
talent_tree_attribute_evasion,Evasion,闪避
talent_tree_attribute_item_slot_unlock,Item Slot Unlock,物品栏解封
talent_tree_attribute_magical_damage,Magical Damage,魔法伤害
talent_tree_attribute_magical_lifesteal,Magical Lifesteal,魔法吸血
talent_tree_attribute_lifesteal_amplification,Lifesteal Amplification,吸血增强
talent_tree_attribute_crafting_speed,Crafting Speed,制作速度
talent_tree_attribute_mana_regen,Mana Regen,法力恢复
talent_tree_attribute_teleport,Teleport,传送功能
talent_tree_attribute_war_tree_unlock,Unlock War Talent Tree,战争天赋树解锁
talent_tree_attribute_crafting_tree_unlock,Unlock Crafting Talent Tree,工匠天赋树解锁
talent_tree_attribute_view_distance,View Distance,视野范围
talent_tree_attribute_physical_lifesteal,Physical Lifesteal,物理吸血
talent_tree_attribute_omni_lifesteal,Omni Lifesteal,全域吸血
talent_tree_attribute_warehouse_limit,Warehouse Limit,仓库上限