--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
warehouse_当前分类下没有物品,No items in the current category.,当前分类下没有物品
warehouse_全部,All,全部
warehouse_材料,Material,材料
warehouse_装备,Equip,装备
warehouse_药剂,Potion,药剂
warehouse_符印,Sigil,符印
warehouse_整理,Sort,整理
warehouse_默认,Default,默认
warehouse_按价值,By Value,按价值
warehouse_仓库容量,Warehouse ({used}/{max}),仓库({used}/{max})
warehouse_估值X,Value {value},估值 {value}
warehouse_分页状态,Page {page}/{pages},第{page}/{pages}页