--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
wearables_已拥有,Owned,已拥有
wearables_未拥有,Not owned,未拥有
wearables_已装备,Equipped,已装备
wearables_默认饰品,Default wearable,默认饰品
wearables_试穿中,Trying on,试穿中
wearables_重置,Reset,重置
wearables_应用,Apply,应用
wearables_应用中,Applying,应用中
wearables_装备,Equip,装备
wearables_恢复默认,Restore default,恢复默认
wearables_卸下,Unequip,卸下
wearables_稀有度,Rarity: ,稀有度：
wearables_槽位,Slot: ,槽位：
wearables_属性加成,Attribute Bonuses,属性加成
wearables_拥有后生效说明,Bonuses apply to this profession once owned.,拥有后即对该职业生效，与是否穿戴无关
wearables_穿戴后效果,Effect while equipped,穿戴后效果
wearables_equip_effect_U001,Regenerates 1% of max mana per second for you and allied heroes within 600.,为自身和 600 范围内友军英雄每秒恢复 1% 最大魔法值。
wearables_equip_effect_U002,Grants 5% armor to you and allied heroes within 600.,为自身和 600 范围内友军英雄提供 5% 护甲。
wearables_equip_effect_U003,Grants 3% universal critical strike chance to you and allied heroes within 600.,为自身和 600 范围内友军英雄提供 3% 全域暴击。
wearables_equip_effect_U004,Grants 3% universal lifesteal to you and allied heroes within 600.,为自身和 600 范围内友军英雄提供 3% 全域吸血。
wearables_无属性加成,No attribute bonuses,无属性加成
wearables_未知饰品,Unknown wearable,未知饰品
wearables_你收到了一件饰品,You received a wearable!,你收到了一件饰品！
wearables_第,Item,第
wearables_接受,Accept,接受
wearables_全部接受,Accept All,全部接受
wearables_装备状态,Equipment status: ,装备状态：
wearables_未装备,Not equipped,未装备
wearables_穿戴,Wearables,穿戴
wearables_单位,Units,单位
wearables_通用,Universal,通用
wearables_英雄,Heroes,英雄
wearables_英雄属性数量,{hero} · {count} attributes,{hero} · {count}项
wearables_当前槽位暂无可用饰品,No available wearables for this slot,当前槽位暂无可用饰品
wearables_槽位_头部,Head,头部
wearables_槽位_武器,Weapon,武器
wearables_槽位_护甲,Armor,护甲
wearables_槽位_腰带,Belt,腰带
wearables_槽位_背部,Back,背部
wearables_槽位_光环,Aura,光环
wearables_品质X,Quality {quality},品质 {quality}
wearables_received_item_progress,Item {current} of {total},第 {current} 件（共 {total} 件）