--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]



// this file is auto-generated from ak_tree.csv
"CSVContent"
{
	"room_tree_001" {
		"UnitType" "building"
		"DropPoolId" "item_YP007:10|item_1107:24|item_1173:24|item_0101:3|item_0104:7|item_0105:5|item_0108:5|item_0112:3|item_0116:4|item_0118:3|item_0120:8|item_0122:4|item_0172:11|item_M107:45|item_M006:60|item_M007:7|item_M011:9|item_M100:58|item_M101:72|item_M102:35"
		"DropRate" "100"
		"DropMin" "2"
		"DropMax" "3"
		"Exp" "1"
		"Gold" "1"
		"MonsterGroups" "group_forest_1|group_forest_2|group_forest_3|group_forest_4|group_forest_5|group_forest_6"
		"BaseClass" "npc_dota_creature"
		"Model" "models/props_tree/frostivus_tree.vmdl"
		"Custom_StatusHealth" "400"
		"Custom_StatusMana" "0"
		"Custom_AttackDamage" "10"
		"Custom_ArmorPhysical" "10"
		"Custom_MagicResistance" "25"
		"Custom_MovementSpeed" "0"
		"Custom_AttackRange" "0"
		"Custom_AttackRate" "1.7000"
		"Custom_AttackSpeed" "50"
		"Custom_StatusManaRegen" "0"
		"Custom_StatusHealthRegen" "0"
		"AttackRange" "0"
		"BaseAttackSpeed" "50"
		"ModelScale" "1.6000"
		"ConsideredHero" "1"
		"HealthBarOffset" "300"
		"Creature" {
			"AttachWearables" {
			}
		}
		"Ability1" ""
		"Ability2" ""
		"Ability3" ""
		"Ability4" ""
		"Ability5" ""
		"Ability6" ""
		"Ability7" ""
		"MovementTurnRate" "0"
		"MovementCapabilities" "DOTA_UNIT_CAP_MOVE_NONE"
		"AttackCapabilities" "DOTA_UNIT_CAP_NO_ATTACK"
		"AttackAnimationPoint" "0.3000"
		"BoundsHullName" "DOTA_HULL_SIZE_REGULAR"
		"RingRadius" "45"
		"aggroRange" "100"
	}
	"room_tree_002" {
		"UnitType" "building"
		"DropPoolId" "item_YP007:10|item_1107:24|item_1173:24|item_0101:3|item_0104:7|item_0105:5|item_0108:5|item_0112:3|item_0116:4|item_0118:3|item_0120:8|item_0122:4|item_0172:11|item_M107:45|item_M006:60|item_M007:7|item_M011:9|item_M100:58|item_M101:72|item_M102:35"
		"DropRate" "100"
		"DropMin" "2"
		"DropMax" "3"
		"first_drop" "item_0122"
		"Exp" "30"
		"Gold" "10"
		"MonsterGroups" "group_forest_1|group_forest_2|group_forest_3|group_forest_4|group_forest_5"
		"BaseClass" "npc_dota_creature"
		"Model" "models/heroes/undying/undying_tower.vmdl"
		"Custom_StatusHealth" "300"
		"Custom_StatusMana" "0"
		"Custom_AttackDamage" "10"
		"Custom_ArmorPhysical" "10"
		"Custom_MagicResistance" "25"
		"Custom_MovementSpeed" "0"
		"Custom_AttackRange" "0"
		"Custom_AttackRate" "1.7000"
		"Custom_AttackSpeed" "50"
		"Custom_StatusManaRegen" "0"
		"Custom_StatusHealthRegen" "0"
		"AttackRange" "0"
		"BaseAttackSpeed" "50"
		"ModelScale" "0.7500"
		"ConsideredHero" "1"
		"HealthBarOffset" "300"
		"Creature" {
			"AttachWearables" {
			}
		}
		"Ability1" "tree_001"
		"Ability2" "totem_war"
		"Ability3" ""
		"Ability4" ""
		"Ability5" ""
		"Ability6" ""
		"Ability7" ""
		"MovementTurnRate" "0"
		"MovementCapabilities" "DOTA_UNIT_CAP_MOVE_NONE"
		"AttackCapabilities" "DOTA_UNIT_CAP_NO_ATTACK"
		"AttackAnimationPoint" "0.3000"
		"BoundsHullName" "DOTA_HULL_SIZE_REGULAR"
		"RingRadius" "45"
		"aggroRange" "100"
	}
	"room_tree_003" {
		"UnitType" "building"
		"DropPoolId" "item_YP007:10|item_1107:24|item_1173:24|item_0101:3|item_0104:7|item_0105:5|item_0108:5|item_0112:3|item_0116:4|item_0118:3|item_0120:8|item_0122:4|item_0172:11|item_M107:45|item_M006:60|item_M007:7|item_M011:9|item_M100:58|item_M101:72|item_M102:35"
		"DropRate" "100"
		"DropMin" "2"
		"DropMax" "3"
		"Exp" "1"
		"Gold" "2"
		"MonsterGroups" "group_forest_7|group_forest_8|group_forest_9|group_forest_10|group_forest_11|group_forest_12"
		"BaseClass" "npc_dota_creature"
		"Model" "models/items/undying/undying_fall20_immortal_head/undying_fall20_immortal_tombstone.vmdl"
		"Custom_StatusHealth" "700"
		"Custom_StatusMana" "0"
		"Custom_AttackDamage" "10"
		"Custom_ArmorPhysical" "10"
		"Custom_MagicResistance" "25"
		"Custom_MovementSpeed" "0"
		"Custom_AttackRange" "0"
		"Custom_AttackRate" "1.7000"
		"Custom_AttackSpeed" "50"
		"Custom_StatusManaRegen" "0"
		"Custom_StatusHealthRegen" "0"
		"AttackRange" "0"
		"BaseAttackSpeed" "50"
		"ModelScale" "0.8000"
		"ConsideredHero" "1"
		"HealthBarOffset" "300"
		"Creature" {
			"AttachWearables" {
			}
		}
		"Ability1" ""
		"Ability2" ""
		"Ability3" ""
		"Ability4" ""
		"Ability5" ""
		"Ability6" ""
		"Ability7" ""
		"MovementTurnRate" "0"
		"MovementCapabilities" "DOTA_UNIT_CAP_MOVE_NONE"
		"AttackCapabilities" "DOTA_UNIT_CAP_NO_ATTACK"
		"AttackAnimationPoint" "0.3000"
		"BoundsHullName" "DOTA_HULL_SIZE_REGULAR"
		"RingRadius" "45"
		"aggroRange" "100"
	}

















































}
